Name,ConflictStatus,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines
Penguin Random House,Unclear,"Ivanka Trump was also paid a $289,300 advance by Penguin Random House for her book, “Women Who Work,” which she donated to the Ivanka M. Trump Charitable Fund to distribute grants to support women and girls.",,To Discuss,,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,
Mobile Payroll Construction,Active,,,To Discuss,,,"180,179"
Department of Homeland Security,Unclear,,,To Discuss,,https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,
William J. Clinton Foundation,Unclear,"The Donald J. Trump Foundation gave away $10.9 million from 2001 to 2014, taking a scattershot approach to philanthropy with donations to more than 400 different charities, according to a Forbes analysis of 14 years of IRS documents. Among the notable recipients: the William J. Clinton Foundation, a state branch of the ACLU and a nonprofit run by the New York Times, which Trump routinely criticizes on Twitter. Only $2.8 million of that money came from Trump himself.",,To Discuss,,https://www.forbes.com/sites/danalexander/2017/02/09/where-did-trumps-foundation-donate-its-money-irs-documents-reveal-surprising-answers/#4d1fcb907b52,
SoftBank Vision Fund,Unclear,"SoftBank Vision Fund, a technology investment vehicle that gets almost half of its $100 billion from the Saudi government's Public Investment Fund. The United Arab Emirates has put at least $15 billion into the Vision Fund through its sovereign wealth fund as well. In May 2018, Cadre, a real estate technology startup co-founded and partly owned by White House senior adviser Jared Kushner, is sought an investment of at least $100 million from the Fund.",,To Discuss,,"""http://www.chicagotribune.com/business/national/ct-kushner-cadre-softbank-funds-20180522-story,amp.html""",
State of Georgia,Resolved,,,To Discuss,,,1027
TC Marks Buenos Aires,Active,,,To Discuss,,"https://www.reuters.com/article/us-usa-trump-argentina/trump-organization-says-it-has-no-plans-to-build-buenos-aires-tower-idUSKBN14N1W7,https://www.washingtonpost.com/politics/trumps-presidency-overseas-business-deals-and-relations-with-foreign-governments-could-all-become-intertwined/2016/11/25/d2bc83f8-b0e2-11e6-8616-52b15787add0_story.html?utm_term=.6474a90a3947",224
Dominion Resources,Resolved,,,To Discuss,,,"883,884,885,888"
Kushner Philadelphia,Active,,,To Discuss,,,"1232,1233,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Trump Golf Management,Active,,,To Discuss,,,356
Trump Virginia Acquisitions (Formerly Virginia Acquisitions),Active,,,To Discuss,,,"536,537"
Melania LLC,Unclear,,,To Discuss,,"http://www.mcclatchydc.com/news/politics-government/congress/article134287344.html,https://www.nbcnews.com/politics/donald-trump/news-media-paid-melania-trump-thousands-use-photos-positive-stories-n883111",
Alabama St Public Sch & CLG Auth Cap Impt,Resolved,,,To Discuss,,,755
State of Alabama,Resolved,,,To Discuss,,,756
LW Investors,Resolved,,,To Discuss,,,"1276,1277"
Trump Tower Triplex,Active,,,To Discuss,,,526
Templeton Global Income Fund,Unclear,,,To Discuss,,,1570
Vanguard,Active,,,To Discuss,,,"unnamed record,unnamed record"
Trump Properties,Unclear,,status missing,To Discuss,,,507
Gallant Funding,Resolved,,,To Discuss,,,"1014,1015"
Battery Park City NY Auth Senior Ser A,Resolved,,,To Discuss,,,771
Tiht Holding Company,Active,,,To Discuss,,,278
NEW YORK ST DORM AUTH ST PERSONAL Ser A,Unclear,,,To Discuss,,,
New York St Dorm Auth St Personal Income Tax Revenue Rfdg Ser E,Unclear,,,To Discuss,,,1354
KC Profit Participation,Resolved,,,To Discuss,,,1174
THC Venture III (Now TTTT Venture),Active,,,To Discuss,,,264
Trump Marks Fine Foods,Active,,,To Discuss,,,"410,409"
Chatham Hill Associates,Active,,,To Discuss,,,"823,824,826,827,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
OppenheimerFunds,Active,,,To Discuss,,,"1417,1421"
Five Acre JV,Active,,,To Discuss,,,1003
