URL of Story,Headline,Media Outlet,Publication Date,Conflicts,Entered by,Pub Status,Internal Notes,Notes,Created,Internal Review,Conflict Review (HN)
https://www.cnn.com/2018/11/10/politics/trump-properties-campaign-spending-2018-midterms/index.html,"Trump properties received $3.2 million during midterms, FEC records show",CNN,2018-11-10,"Mar-A-Lago Club,Old Post Office Hotel,Trump Miami Resort,Trump Las Vegas,Trump Chicago,Trump Tower Commercial,Trump Plaza",Bob Goldstraw,Approved,"20190206 HN: Removed Trump Chicago Commercial from conflict assignments. After some edits to the friendly names, related entities are now bundled into ""Trump Chicago,"" making the other friendly name moot. Also, The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.cnn.com/2018/11/06/politics/ivanka-trump-trademarks/index.html,China grants 16 trademarks to defunct Ivanka Trump business,CNN,2018-11-06,"Ivanka Trump brand,China Trademark",Bob Goldstraw,Approved,,,,,
https://www.wnycstudios.org/story/trump-inc-trump-tangled-relationship-saudi-arabia,Trump’s Tangled Relationship With Saudi Arabia,ProPublica,2018-10-19,The Trump Organization,Heidi Johnson,Approved,,,,,
https://www.wnycstudios.org/story/trump-inc-trump-taxes-art-dodge,Trump and Taxes: The Art of the Dodge,ProPublica,2018-10-24,"The Trump Organization,Donald J. Trump Foundation",Heidi Johnson,Approved,,,,,
https://www.npr.org/about-npr/665423141/npr-news-interview-congressman-adam-schiff,NPR News Interview Congressman Adam Schiff,NPR,2018-11-07,The Trump Organization,Heidi Johnson,Rejected,"Nothing specifically about Trump's businesses

",,,,
https://www.washingtonpost.com/politics/2018/11/12/readers-guide-trump-administration-targets-house-democrats-are-preparing-investigate/?utm_term=.ca37230f6620,A reader’s guide: 12 targets as House Democrats prepare to investigate the Trump administration,Washington Post,2018-11-12,"The Trump Organization,Old Post Office Hotel",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.washingtonpost.com/politics/federal_government/meet-the-house-democrats-who-will-be-running-the-show/2018/11/12/40ea846a-e63d-11e8-8449-1ff263609a31_story.html?utm_term=.77c7103b9287,Meet the House Democrats who will be running the show,Washington Post,2018-11-12,"Old Post Office Hotel,Internal Revenue Service",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.washingtonpost.com/world/asia_pacific/china-greenlights-large-batch-of-ivanka-trump-trademark-applications/2018/11/06/c085e88c-e1c8-11e8-a1c9-6afe99dddd92_story.html?utm_term=.8d0bb6058cd8,China greenlights large batch of Ivanka Trump trademark applications,Washington Post,2018-11-06,"Ivanka Trump brand,China Trademark",Heidi Johnson,Approved,"This one is for Ivanka.  I know we aren't supposed to worry about her right now, but this one seemed important.",,,,
https://www.washingtonpost.com/politics/justice-lawyers-fail-to-halt-trump-financial-records-release/2018/11/03/5a6da8ea-df26-11e8-8bac-bfe01fcdc3a6_story.html?utm_term=.57a5b2a068d3,Justice lawyers fail to halt Trump financial records release,Washington Post,2018-11-03,"U.S Department of Justice,Old Post Office Hotel",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
https://www.washingtonpost.com/politics/democrats-signal-aggressive-investigations-of-trump-while-resisting-impeachment-calls/2018/11/11/63945180-e5d4-11e8-bbdb-72fdbf9d4fed_story.html?utm_term=.29f3e4841939,Democrats signal aggressive investigations of Trump while resisting impeachment calls,Washington Post,2018-11-11,"The Trump Organization,Old Post Office Hotel",Heidi Johnson,Approved,"2-6-19 HN: The Trump International Hotel DC friendly name has been replaced by Old Post Office Hotel. I'm replacing the conflict tags for all stories, and deleting Trump International Hotel DC from the friendly name table.",,,,
